Class,Subclass2,Subclass3,Subclass4,Subclass5,Subclass6,Subclass7,Subclass8,nuclex_nid,parent_OBO,obo_id,obo_axiom,radlex_purl,radlex_axiom,playbook_rpid,umls_cui,umls_axiom,nci_thesaurus_code,nci_thesaurus_axiom,snomedct_code,snomedct_axiom,ibsi_code,ibsi_axiom,dicom_code,Other,Other_axiom,Measurement?,Assignment ID,Approver/Endorser ID,Comments,Synonyms,Definitions ,ro:has_part,ro:is_part_of,ro:uses,ro:is_made_of,ro:treats,ro:has_input,ro:has_output,ro:is_about,nuclex:is_theranostic_pair,nuclex:binds_to,nuclex:is_radiolabeled_analog_of,,,,,,,
,,,,norepinephrine transporter targeted radiopharmaceutical therapy,,,,nuclex:000015,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/228700000,oboInOwl:hasDbXref,,,,,,,,1001;1002;1003,,"NET targeted RPT, NET targeted radiopharmaceutical therapy, NET RPT, MIBG RPT, MIBG radiopharmaceutical therapy, iodine 131 meta-iodobenzylguanidine therapy",A type of radiopharmaceutical therapy that targets the norepinephrine transporter (NET).,,,,,,,,,,,,,,,,,,
,,,,radioimmunotherapy,,,,nuclex:000016,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C1511,,http://purl.bioontology.org/ontology/SNOMEDCT/118640001,,,,,,,,,1001;1002;1003,Term originated from NCI Thesaurus,"radioimmunoconjugate therapy, radioactive antibody therapy, antibody RPT, antibody radiopharmaceutical therapy, radiolabeled antibody therapy","A type of radiopharmaceutical therapy that uses monoclonal antibodies conjugated to radionuclides, targeting specific tumor-associated antigens for localized radiation delivery.",,,,,,,,,,,,,,,,,,
,,,,chemokine receptor 4 targeted radiopharmaceutical therapy,,,,nuclex:000017,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"CXCR4-targeted RPT, CXCR4 RPT",A type of radiopharmaceutical therapy that targets the chemokine receptor type 4.,,,,,,,,,,,,,,,,,,
,,,,alpha radiopharmaceutical therapy,,,,nuclex:000018,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C219064,,,,,,,,,,,1001;1002;1003,,"targeted alpha therapy, alpha therapy, alpha-emitting radiopharmaceutical therapy, targeted alpha radiopharmaceutical therapy",A type of radiopharmaceutical therapy using pharmaceuticals with alpha-emitting radioisotopes. ,,,,,,,,,,,,,,,,,,
,,,,beta radiopharmaceutical therapy,,,,nuclex:000019,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"beta therapy, beta radionuclide therapy, targeted beta therapy",A type of radiopharmaceutical therapy using pharmaceuticals with alpha-emitting radioisotopes. ,,,,,,,,,,,,,,,,,,
,,,,Auger-electron radiopharmaceutical therapy,,,,nuclex:000020,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"Auger-electron therapy, targeted Auger-electron therapy, Auger therapy, Auger electron radiopharmaceutical therapy",A type of radiopharmaceutical therapy using pharmaceuticals with auger electron-emitting radioisotopes. ,,,,,,,,,,,,,,,,,,
,imaging procedure,,,,,,,nuclex:000021,,,,http://www.radlex.org/RID/RID13060,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17369,,http://purl.bioontology.org/ontology/SNOMEDCT/363679005,,,,,,,,,1001;1002;1004,,"scan, imaging exam",A medical procedure primarily intended to create images of the body's interior.,,,,,,,,,,,,,,,,,,
,,nuclear medicine imaging procedure,,,,,,nuclex:000022,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/373205008,,,,,,,,,1001;1002;1004,,"nuclear medicine scan, nuclear medicine exam","An imaging procedure using radiopharmaceuticals to visualize body anatomy, physiology, or pathology.",,,,,,,,,,,,,,,,,,
,,,general nuclear medicine imaging procedure,,,,,nuclex:000023,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"general nuclear medicine scan, general nuclear medicine exam, conventional nuclear medicine scan","A broad term for non-specific nuclear medicine imaging, often planar, SPECT, or PET.",,,,,,,,,,,,,,,,,,
,,,,theranostic scan,,,,nuclex:000024,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"theragnostic scan, theranostic imaging, radiotheranostics","An imaging procedure performed as part of a theranostic strategy, often to assess target expression before or during therapy.",,,,,,,,,,,,,,,,,,
,,,,,pre-therapy theranostic scan,,,nuclex:000025,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,pre-treatment theranostics scan,"An imaging procedure performed as part of a theranostic strategy, often to assess target expression before therapy.",,,,,,,,,,,,,,,,,,
,,,,,post-therapy theranostic scan,,,nuclex:000026,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,post-treatment theranostics scan,"An imaging procedure performed as part of a theranostic strategy, often to assess radiation delivery to target and dosimetry during or after therapy.",,,,,,,,,,,,,,,,,,
,,,,positron emission tomography scan,,,,nuclex:000027,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"PET, PET exam, PET study",An imaging procedure using positron-emitting radiopharmaceuticals to create images.,,,,,,,,,,,,,,,,,,
,,,,,dynamic positron emission tomography scan,,,nuclex:000028,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"dynamic PET scan, dynamic PET, dynamic PET study","A positron emission tomography scan involving sequential image acquisition over an extended period, allowing for the assessment of radiopharmaceutical kinetics, measurement of physiological processes, and derivation of quantitative parameters.",,,,,,,,,,,,,,,,,,
