Class,Subclass2,Subclass3,Subclass4,Subclass5,Subclass6,Subclass7,Subclass8,nuclex_nid,parent_OBO,obo_id,obo_axiom,radlex_purl,radlex_axiom,playbook_rpid,umls_cui,umls_axiom,nci_thesaurus_code,nci_thesaurus_axiom,snomedct_code,snomedct_axiom,ibsi_code,ibsi_axiom,dicom_code,Other,Other_axiom,Measurement?,Assignment ID,Approver/Endorser ID,Comments,Synonyms,Definitions ,ro:has_part,ro:is_part_of,ro:uses,ro:is_made_of,ro:treats,ro:has_input,ro:has_output,ro:is_about,nuclex:is_theranostic_pair,nuclex:binds_to,nuclex:is_radiolabeled_analog_of,,,,,,,
,,,,,splenic infarct scan,,,nuclex:000173,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,,A nuclear medicine spleen scan performed to identify a peripherally based focal defect of radiotracer uptake within the splenic parenchyma.,,,,,,,,,,,,,,,,,,
,,,,nuclear medicine bone marrow scan,,,,nuclex:000174,,,,,,"RPID5177, RPID6305, RPID6178",,,,,http://purl.bioontology.org/ontology/SNOMEDCT/372084007,,,,,,,,,1001;1002;1004,,"bone marrow scan, BM scan, BM scintigraphy",A nuclear medicine imaging procedure that visualizes the distribution and functional status of the bone marrow.,,,,,,,,,,,,,,,,,,
,,,,,bone marrow infarct scan,,,nuclex:000175,,,,,,RPID5177,,,,,,,,,,,,,,1001;1002;1004,,"BM infarct scan, BM infarct scintigraphy",A nuclear medicine bone marrow scan performed to identify focal areas of absent radiotracer uptake within the bone marrow space.,,,,,,,,,,,,,,,,,,
,,,,,bone infection scan,,,nuclex:000176,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"Bone marrow infection scan, BM infection scan, BM infection scintigraphy",A specialized nuclear medicine imaging procedure designed to differentiate active osteomyelitis from physiological bone remodeling.,,,,,,,,,,,,,,,,,,
,,,,gastroesophageal reflux scan,,,,nuclex:000177,,,,,,RPID5108,,,,,,,,,,,,,,1001;1002;1004,,"milk scan, radionuclide gastroesophageal reflux scan, GER scan",A dynamic nuclear medicine imaging procedure that utilizes continuous imaging over the thorax and abdomen following the ingestion of a radiolabeled liquid to detect and quantify the retrograde flow of gastric contents into the esophagus.,,,,,,,,,,,,,,,,,,
,,,,scrodal scintigraphy,,,,nuclex:000178,,,,,,RPID5143,,,,,,,,,,,,,,1001;1002;1004,,"testicular flow scan, testicular scan",A dynamic and static nuclear medicine imaging procedure that evaluates the arterial perfusion and tissue blood pool of the scrotal contents.,,,,,,,,,,,,,,,,,,
,,,,nuclear cystogram,,,,nuclex:000179,,,,,,RPID6308,,,,,,,,,,,,,,1001;1002;1004,,"radionuclide cystography, cystogram reflux",A dynamic nuclear medicine imaging procedure that continuously monitors the bladder and ureters during the phases of bladder filling and voluntary voiding to detect and quantify the retrograde flow of urine.,,,,,,,,,,,,,,,,,,
,non-imaging procedure,,,,,,,nuclex:000180,,,,http://www.radlex.org/RID/RID48094,,,,,,,,,,,,,,,,1001;1002;1004,,"measurement approach, ","A medical procedure designed to quantify physiological parameters, analyze biological samples, or measure signals without generating an image.",,,,,,,,,,,,,,,,,,
,,non-imaging nuclear medicine procedure,,,,,,nuclex:000181,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"NM measurement procedure, NM measurement approach, nuclear medicine measurement procedure, radionuclide counting procedure, quantitative nuclear medicine test",A non-imaging procedure that utilizes the administration of a radiopharmaceutical or the in vitro application of radionuclides to quantify physiological processes or biochemical concentrations,,,,,,,,,,,,,,,,,,
,,,pledget study,,,,,nuclex:000182,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"nasal pledget study, pledget test, cerbrospinal fluid pledget study, CSF pledget study","A nuclear medicine diagnostic test where absorbent pads are placed, usually in the nasal cavity, to detect the presence of a radioactive tracer that would indicate leakage of cerebrospinal fluid from the surrounding protective membranes.",,,,,,,,,,,,,,,,,,
,,,thyroid uptake test,,,,,nuclex:000183,,,,,,RPID6333,,,,,,,,,,,,,,1001;1002;1004,,"radioiodine uptake test, RAIU, I-131 uptake test, radioactive iodine uptake test, thyroid probe study","A non-imaging quantitative test measuring the percentage of an administered radioiodine dose accumulated by the thyroid gland over time, often using a thyroid probe. ",,,,,,,,,,,,,,,,,,
,,,nuclear medicine glomerular filtration rate test,,,,,nuclex:000184,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,GFR test,A non-imaging quantitative test measuring the glomerular filtration rate using blood samples.,,,,,,,,,,,,,,,,,,
,,,radioimmunoassay,,,,,nuclex:000185,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/703449007,,,,,,,,,1001;1002;1004,,"RIA, radioligand assay",An in vitro laboratory technique that provides highly sensitive measurement of the concentration of specific antigens (such as hormones) in a blood sample using antibodies and a radiolabeled substance.,,,,,,,,,,,,,,,,,,
,,,urea breath test,,,,,nuclex:000186,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"C-14 urea breath test, H. pylori breath test, UBT",A nuclear medicine diagnostic test used to identify active Helicobacter pylori infections in the stomach by measuring the amount of radiolabeled carbon dioxide exhaled after the patient ingests urea tagged with a carbon isotope.,,,,,,,,,,,,,,,,,,
,,,blood volume test,,,,,nuclex:000187,,,,,,,,,,,,,,,,,,,,1001;1002;1004,,"Daxor test, blood volume analysis, BVA, total blood volume test","A non-imaging quantitative nuclear medicine procedure that measures a patient's total blood volume, red blood cell volume, and plasma volume using radiopharmaceuticals.",,,,,,,,,,,,,,,,,,
,,,Schilling test,,,,,nuclex:000188,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/84146007,,,,,,,,,1001;1002;1004,,"vitamin B12 test, vitamin B12 absorption test","A non-imaging nuclear medicine procedure used to evaluate vitamin B12 malabsorption by orally administering radiolabeled vitamin B12 alongside an intramuscular injection of unlabeled B12, and subsequently measuring the radioactivity excreted in a 24-hour urine collection.",,,,,,,,,,,,,,,,,,
process,,,,,,,,nuclex:000189,,http://purl.obolibrary.org/obo/BFO_0000015,, http://www.radlex.org/RID/RID39128,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C29862,,http://purl.bioontology.org/ontology/SNOMEDCT/415178003,,,,,,,,,1001;1002;1004,,,"A set of physical, biological, or computational actions performed to achieve a specific outcome",,,,,,,,,,,,,,,,,,
,dosimetry ,,,,,,,nuclex:000190,,,,http://www.radlex.org/RID/RID49590,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15312,,,,,,,http://purl.bioontology.org/ontology/LNC/LP209061-3,,,,1001;1002;1003,,radiation dosimetry,"A process encompassing the measurement, calculation, and overall assessment of the absorbed dose of ionizing radiation within matter.",,,,,,,,,,,,,,,,,,
,,medical dosimetry,,,,,,nuclex:000191,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,medical radiation dosimetry,A dosimetry process specifically focused on quantifying the radiation dose absorbed by human tissues during diagnostic or therapeutic clinical procedures.,,,,,,,,,,,,,,,,,,
,,,external medical dosimetry,,,,,nuclex:000192,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,external dosimetry for medical application,A medical dosimetry process evaluating the absorbed radiation dose to humans resulting from ionizing sources situated outside the body.,,,,,,,,,,,,,,,,,,
,,,,external beam radiotherapy dosimetry,,,,nuclex:000193,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"radiotherapy dosimetry, radidation therapy dosimetry, external beam dosimetry, EBRT dosimetry",A dosimetry process dedicated to the calculation of absorbed doses resulting from therapeutic high-energy radiation beams directed at target tissues.,,,,,,,,,,,,,,,,,,
,,,,radiological imaging dosimetry,,,,nuclex:000194,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"dianostic imaging dosimetry, transmission imaging dosimetry",A dosimetry process dedicated to the calculation of absorbed doses resulting from diagnostic ionizing radiation beams directed at target tissues.,,,,,,,,,,,,,,,,,,
,,,,,computed tomography dosimetry,,,nuclex:000195,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,CT dosimetry,A dosimetry process dedicated to the calculation of absorbed doses resulting from diagnostic x-rays deposited during a computed tomography scan.,,,,,,,,,,,,,,,,,,
,,,,,radiography dosimetry,,,nuclex:000196,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,X-ray dosimetry,A dosimetry process dedicated to the calculation of absorbed doses resulting from diagnostic x-rays deposited during a radiography scan.,,,,,,,,,,,,,,,,,,
,,,,,fluoroscopy dosimetry,,,nuclex:000197,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,angiography dosimetry,A dosimetry process dedicated to the calculation of absorbed doses resulting from diagnostic x-rays deposited during a fluoroscopy scan.,,,,,,,,,,,,,,,,,,
,,,internal medical dosimetry,,,,,nuclex:000198,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"internal dosimetry, internal radiation dosimetry, internal medical dosimetry",A medical dosimetry process evaluating the absorbed radiation dose resulting from radioactive sources introduced into the human body.,,,,,,,,,,,,,,,,,,
,,,,radiopharmaceutical dosimetry,,,,nuclex:000199,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"RPT dosimetry, internal dosimetry, radionuclide dosimetry",A dosimetry process that calculates absorbed doses to organs and tissues following the administration of unsealed radioactive materials.,,,,,,,,,,,,,,,,,,
,,,,,population-level radiopharmaceutical dosimetry,,,nuclex:000200,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,population dosimetry,A dosimetry process that uses standardized biokinetic models and reference computational phantoms to calculates absorbed doses to organs and tissues following the administration of unsealed radioactive materials. ,,,,,,,,,,,,,,,,,,
,,,,,individualized radiopharmaceutical dosimetry,,,nuclex:000201,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"radiopharmaceutical therapy dosimetry, molecular radiotherapy dosimetry, patient-individual dosimetry",A patient-specific dosimetry approach that models absorbed doses to organs and tumors resulting from radiopharmaceutical administration. ,,,,,,,,,,,,,,,,,,
,,,,radioembolization dosimetry,,,,nuclex:000202,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"SIRT dosimetry, selective internal radiation therapy dosimetry",A dosimetry process that calculates the localized absorbed dose resulting from the intra-arterial administration of radioactive microspheres.,,,,,,,,,,,,,,,,,,
,,,,brachytherapy dosimetry,,,,nuclex:000203,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,dosimetry for brachytherapy,A dosimetry process that calculates the localized absorbed dose resulting from the implantation of sealed radioactive sources. ,,,,,,,,,,,,,,,,,,
,,occupational dosimetry,,,,,,nuclex:000204,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,dosimetry for radiation protection,"A dosimetry process focused on the systematic monitoring, measurement, and recording of ionizing radiation doses received by personnel in the course of their professional duties.",,,,,,,,,,,,,,,,,,
,dosimetry workflow process,,,,,,,nuclex:000205,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"clinical dosimetry workflow process, CDW workflow",,,,,,,,,,,,,,,,,,,
,,radiopharmaceutical dosimetry workflow process,,,,,,nuclex:000206,,,,,,,,,,,,,,,,,,,1003,1001;1002,,RPT dosimetry workflow process,,,,,,,,,,,,,,,,,,,
,,,radiopharmaceutical dosimetry data acquisition,,,,,nuclex:000207,,,,,,,,,,,,,,,,,,,1003,1001;1002,,dosimetry data acquisition,,,,,,,,,,,,,,,,,,,
,,,,dosimetry bioassay,,,,nuclex:000208,,,,,,,,,,,,,,,,,,,1003,1001;1002,,PK dosimetry,,,,,,,,,,,,,,,,,,,
,,,,,dosimetry blood counting,,,nuclex:000209,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"blood counting, blood gamma counting",,,,,,,,,,,,,,,,,,,
,,,,dosimetry imaging,,,,nuclex:000210,,,,,,,,,,,,,,,,,,,1003,1001;1002,,imaging for dosimetry,,,,,,,,,,,,,,,,,,,
,,,,,dosimetry imaging for diagnostic radiopharmaceuticals,,,nuclex:000211,,,,,,,,,,,,,,,,,,,1003,1001;1002,,diagnostic dosimetry imaging,,,,,,,,,,,,,,,,,,,
,,,,,dosimetry imaging for radiopharmaceutical therapy,,,nuclex:000212,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"radiopharmaceutical therapy dosimetry imaging, RPT dosimetry imaging",,,,,,,,,,,,,,,,,,,
,,,,,,pre-radiopharmaceutical therapy dosimetry imaging,,nuclex:000213,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"pre-therapy dosimetry imaging, pre-treatment dosimetry imaging",,,,,,,,,,,,,,,,,,,
,,,,,,multiple-time point dosimetry imaging,,nuclex:000214,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"multi-time point dosimetry imaging, MTP dosimetry imaging",,,,,,,,,,,,,,,,,,,
,,,,,,single-time point dosimetry imaging,,nuclex:000215,,,,,,,,,,,,,,,,,,,1003,1001;1002,,STP dosimetry imaging,,,,,,,,,,,,,,,,,,,
,,,,,,quantitative single-photon emission computed tomography dosimetry imaging,,nuclex:000216,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"qSPECT dosimetry imaging, quantitative SPECT dosimetry imaging",,,,,,,,,,,,,,,,,,,
,,,,,,,quantitative single-photon emission computed tomography/computed tomography dosimetry imaging,nuclex:000217,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"qSPECT/CT dosimetry imaging, quantitative SPECT/CT dosimetry imaging",,,,,,,,,,,,,,,,,,,
,,,,,,positron emission tomography dosimetry imaging,,nuclex:000218,,,,,,,,,,,,,,,,,,,1003,1001;1002,,PET dosimetry imaging,,,,,,,,,,,,,,,,,,,
,,,,,,,positron emission tomography/computed tomography dosimetry imaging,nuclex:000219,,,,,,,,,,,,,,,,,,,1003,1001;1002,,PET/CT dosimetry imaging,,,,,,,,,,,,,,,,,,,
,,,,,,planar scintigraphy dosimetry imaging,,nuclex:000220,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"planar dosimetry imaging, scintigraphy dosimetry imaging, 2D dosimetry imaging",,,,,,,,,,,,,,,,,,,
,,,,,,,quantitative planar scintigraphy dosimetry imaging,nuclex:000221,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"quantitative planar dosimetry imaging, quantitative scintigraphy dosimetry imaging, quantitative 2D dosimetry imaging",,,,,,,,,,,,,,,,,,,
,,,,,,hybrid modality dosimetry imaging,,nuclex:000222,,,,,,,,,,,,,,,,,,,1003,1001;1002,,hybrid dosimetry imaging,,,,,,,,,,,,,,,,,,,
,,,,,,,hybrid quantitative single-photon emission computed tomography and planar scintigraphy dosimetry imaging,nuclex:000223,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"hybrid qSPECT/planar dosimetry imaging, hybrid quantitative SPECT/planar dosimetry imaging",,,,,,,,,,,,,,,,,,,
,,,radiopharmaceutical dosimetry data processing,,,,,nuclex:000224,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"NM dosimetry processing, radiopharmaceutical data processing",,,,,,,,,,,,,,,,,,,
,,,,time-integrated activity calculation,,,,nuclex:000225,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"TIA calculation, time integration, TAC integration",,,,,,,,,,,,,,,,,,,
,,,,absorbed dose calculation,,,,nuclex:000226,,,,,,,,,,,,,,,,,,,1003,1001;1002,,dose calculation,,,,,,,,,,,,,,,,,,,
,,,,,patient-level absorbed dose calculation,,,nuclex:000227,,,,,,,,,,,,,,,,,,,1003,1001;1002,,individualized absorbed dose calculation,,,,,,,,,,,,,,,,,,,
,,,,,population model-based absorbed dose calculation,,,nuclex:000228,,,,,,,,,,,,,,,,,,,1003,1001;1002,,"model-based absorbed dose calculation, population-level absorbed dose calculation",,,,,,,,,,,,,,,,,,,
,quality assurance,,,,,,,nuclex:000229,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15381,,,,,,,,,,,,,QA,,,,,,,,,,,,,,,,,,,
,,scanner quality assurance,,,,,,nuclex:000230,,,,,,,,,,,,,,,,,,,,,,scanner QA,,,,,,,,,,,,,,,,,,,
,,,,,,,,nuclex:000231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,physical process,,,,,,,nuclex:000232,,,,,,,,,,,,,,,,,,,1010,1001;1002,,physics process,,,,,,,,,,,,,,,,,,,
,,subatomic process,,,,,,nuclex:000233,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/RBO_00015006,,,1010,1001;1002,,atomic process,Processes in which electrons or components of the atomic nucleus are participants.,,,,,,,,,,,,,,,,,,
,,,radioactive decay,,,,,nuclex:000234,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/RBO_00002118,,,1010,1001;1002,,decay,A process involving the emission of energy from an atomic nucleus resulting in change in the state of the nucleus.,,,,,,,,,,,,,,,,,,
,,,,beta decay,,,,nuclex:000235,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/RBO_00015005,,,1010,1001;1002,,"ß decay, beta emission",Radioactive decay in which a beta particle is emitted.,,,,,,,,,,,,,,,,,,
,,,,,beta-minus decay,,,nuclex:000236,,,,,,,,,,,,,,,,,,,1010,1001;1002,,"beta decay, electron emission",Radioactive decay in which an electron particle is emitted.,,,,,,,,,,,,,,,,,,
,,,,,beta-plus decay,,,nuclex:000237,,,,,,,,,,,,,,,,,,,1010,1001;1002,,"positron emission, positron decay",Radioactive decay in which a positron particle is emitted.,,,,,,,,,,,,,,,,,,
,,,,alpha decay,,,,nuclex:000238,,,,,,,,,,,,,,,,http://purl.obolibrary.org/obo/RBO_00015004,,,1010,1001;1002,,alpha emission,Radioactive decay in which an alpha particle is emitted.,,,,,,,,,,,,,,,,,,
,,,,gamma decay,,,,nuclex:000239,,,,,,,,,,,,,,,,,,,1010,1001;1002,,gamma emission,,,,,,,,,,,,,,,,,,,
,,,,internal conversion,,,,nuclex:000240,,,,,,,,,,,,,,,,,,,1010,1001;1002,,IC,"A process where an excited nucleus transfers its energy directly to one of its own atomic electrons, causing the electron to be ejected from the atom.",,,,,,,,,,,,,,,,,,
,,,,internal pair production,,,,nuclex:000241,,,,,,,,,,,,,,,,,,,1010,1001;1002,,IP,A process where the nuclear excitation energy exceeding 1.022 MeV is converted internally into an electron-positron pair that is subsequently ejected from the atom.,,,,,,,,,,,,,,,,,,
,,,,electron capture,,,,nuclex:000242,,,,,,,,,,,,,,,,,,,1010,1001;1002,,"K-capture, L-capture, orbital electron capture, EC","A process where an atomic nucleus captures one of its own orbital electrons, transforming a nuclear proton into a neutron and emitting a neutrino.",,,,,,,,,,,,,,,,,,
,,,,metastable decay,,,,nuclex:000243,,,,,,,,,,,,,,,,,,,1010,1001;1002,,isomeric transition,"A process of a nucleus decaying from a metastable excited state to a lower energy state, typically occurring via gamma emission or internal conversion.",,,,,,,,,,,,,,,,,,
,,,,nuclear fission,,,,nuclex:000244,,,,,,,,,,,,,,,,,,,1010,1001;1002,,fission,A nuclear process in which a heavy nucleus splits into two or more smaller nuclei.,,,,,,,,,,,,,,,,,,
,,,,neutron emission,,,,nuclex:000245,,,,,,,,,,,,,,,,,,,1010,1001;1002,,neutron decay,A process characterized by the ejection of a neutron from a nucleus.,,,,,,,,,,,,,,,,,,
,,particle interaction,,,,,,nuclex:000246,,,,,,,,,,,,,,,,,,,1010,1001;1002,,Particle matter interaction,,,,,,,,,,,,,,,,,,,
,,,compton scatter,,,,,nuclex:000247,,,,,,,,,,,,,,,,,,,1010,1001;1002,,compton scattering,,,,,,,,,,,,,,,,,,,
,,,photoelectric effect,,,,,nuclex:000248,,,,,,,,,,,,,,,,,,,1010,1001;1002,,PE,,,,,,,,,,,,,,,,,,,
,,,pair production,,,,,nuclex:000249,,,,,,,,,,,,,,,,,,,1010,1001;1002,,PP,,,,,,,,,,,,,,,,,,,
,,,bremsstrahlung,,,,,nuclex:000250,,,,,,,,,,,,,,,,,,,1010,1001;1002,,BRS,,,,,,,,,,,,,,,,,,,
,,,annihilation,,,,,nuclex:000251,,,,,,,,,,,,,,,,,,,1010,1001;1002,,"annihilation event, positron annihilation, positron-electron annihilation",,,,,,,,,,,,,,,,,,,
,,,attenuation,,,,,nuclex:000252,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164239,,,,,,,,,,1010,1001;1002,,"particle attenuation, photon attenuation",,,,,,,,,,,,,,,,,,,
,,,absorption,,,,,nuclex:000253,,,,,,,,,,,,,,,,,,,1010,1001;1002,,particle absorption,,,,,,,,,,,,,,,,,,,
,,,energy deposition,,,,,nuclex:000254,,,,,,,,,,,,,,,,,,,1010,1001;1002,,deposition of energy,,,,,,,,,,,,,,,,,,,
,imaging workflow process,,,,,,,nuclex:000255,,,,,,,,,,,,,,,,,,,1010,1001;1002,,"process for imaging workflow, scan workflow",,,,,,,,,,,,,,,,,,,
,,image interpretation,,,,,,nuclex:000256,,,,,,,,,,,,,,,,,,,1010,1001;1002,,Imaging interpretation,,,,,,,,,,,,,,,,,,,
,,image analysis,,,,,,nuclex:000257,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/24587005,,,,,,,,1010,1001;1002,,imaging analysis,,,,,,,,,,,,,,,,,,,
,,,image segmentation,,,,,nuclex:000258,,http://purl.obolibrary.org/obo/GO_0035282,,http://www.radlex.org/RID/RID12775,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80146,,,,,,,,,,1010,1001;1002,,"contouring, segmentation",,,,,,,,,,,,,,,,,,,
,,,feature extraction,,,,,nuclex:000259,,http://purl.obolibrary.org/obo/OBI_0001028,,,,,,,,,,,,,,,,,1010,1001;1002,,"extraction of features, voxel-wise analysis",,,,,,,,,,,,,,,,,,,
,,,radiomics analysis,,,,,nuclex:000260,,,,,,,,,,,,,,,,,,,1010,1001;1002,,radiomics,,,,,,,,,,,,,,,,,,,
,,,kinetic modeling,,,,,nuclex:000261,,,,,,,,,,,,,,,,,,,1010,1001;1002,,"kinetic analysis, dynamic analysis",,,,,,,,,,,,,,,,,,,
,,image processing,,,,,,nuclex:000262,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17606,,,,,,,,,,1010,1001;1002,,processing of images,,,,,,,,,,,,,,,,,,,
,,,image registration,,,,,nuclex:000263,,,,http://www.radlex.org/RID/RID12776,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80145,,,,,,,,,,1010,1001;1002,,registration,,,,,,,,,,,,,,,,,,,
,,,image filtering,,,,,nuclex:000264,,,,,,,,,,,,,,,,,,,1010,1001;1002,,filtering,,,,,,,,,,,,,,,,,,,
,,,image resampling,,,,,nuclex:000265,,,,,,,,,,,,,,,,,,,1010,1001; 1002 ,,resampling,,,,,,,,,,,,,,,,,,,
,,image reconstruction,,,,,,nuclex:000266,,,,,,,,,,,,,,,,,,,1010,1001;1002,,reconstruction,,,,,,,,,,,,,,,,,,,
,,image acquisition,,,,,,nuclex:000267,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43385,,,,,,,,,,1010,1001;1002,,acquisition,,,,,,,,,,,,,,,,,,,
method,,,,,,,,nuclex:000268,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71460,,http://purl.bioontology.org/ontology/SNOMEDCT/260686004,,,,,,,,,1001;1002;1003,,"approach, technique",The steps or technique used to perform a process.,,,,,,,,,,,,,,,,,,
,dosimetry measurement method,,,,,,,nuclex:000269,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"dosimetry approach, dosimetry technique",A method used to acquire the data necessary for quantifying the absorbed dose of ionizing radiation.,,,,,,,,,,,,,,,,,,
,,radiopharmaceutical dosimetry measurement method,,,,,,nuclex:000270,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"NM dosimetry method, internal dosimetry method, radiopharmaceutical dosimetry approach, radiopharmaceutical dosimetry technique",A method used to acquire the data necessary for quantifying the absorbed dose of ionizing radiation resulting from administration of a radiopharmaceutical.,,,,,,,,,,,,,,,,,,
,,,nuclear medicine imaging-based dosimetry,,,,,nuclex:000271,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,image-based dosimetry,A radiopharmaceutical dosimetry measurement method that utilizes data extracted from serial in vivo emission images.,,,,,,,,,,,,,,,,,,
,,,,positron emission tomography-based dosimetry,,,,nuclex:000272,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,PET-based dosimetry,A dosimetry measurement method that utilizes data extracted from serial PET images.,,,,,,,,,,,,,,,,,,
,,,,single-photon emission computed tomography-based dosimetry,,,,nuclex:000273,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,SPECT-based dosimetry,A dosimetry measurement method that utilizes data extracted from serial SPECT images.,,,,,,,,,,,,,,,,,,
,,,,planar scintigraphy-based dosimetry,,,,nuclex:000274,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,planar imaging-based dosimetry,A dosimetry measurement method that utilizes data extracted from serial planar scintigraphy images.,,,,,,,,,,,,,,,,,,
,,,,hybrid single-photon emission computed tomography/planar scintigraphy dosimetry,,,,nuclex:000275,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,hybrid SPECT/planar dosimetry,"A dosimetry measurement method that utilizes hybrid data extracted from some combination of PET, SPECT, or planar scintigraphy images.",,,,,,,,,,,,,,,,,,
,,,biospecimen-based dosimetry,,,,,nuclex:000276,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"sample dosimetry, specimen dosimetry",A dosimetry measurement method that utilizes measurements of samples extracted from the subject.,,,,,,,,,,,,,,,,,,
,,,,blood-based dosimetry,,,,nuclex:000277,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"blood dosimetry, blood surrogate dosimetry",A dosimetry measurement method that utilizes measurements of blood samples extracted from the subject.,,,,,,,,,,,,,,,,,,
,,occupational dosimetry measurement method,,,,,,nuclex:000278,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,method for occupational dosimetry,A dosimetry measurement method utilized to monitor and quantify the accumulated ionizing radiation exposure received by personnel over time.,,,,,,,,,,,,,,,,,,
,dosimetry process calculation method,,,,,,,nuclex:000279,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,dosimetry calculation method,A method used to calculate quantities needed in the overall dosimetry process. ,,,,,,,,,,,,,,,,,,
,,absorbed dose calculation method,,,,,,nuclex:000280,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,AD method,A method used to compute the energy deposited by ionizing radiation per unit mass of a target tissue or volume as part of dosimetry.,,,,,,,,,,,,,,,,,,
,,,voxel-based absorbed dose calculation,,,,,nuclex:000281,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,voxel-based dosimetry,A method that computes the spatial distribution of absorbed doses across a three-dimensional grid of discrete volumetric elements representing the target geometry.,,,,,,,,,,,,,,,,,,
,,,,kernel-based absorbed dose calculation,,,,nuclex:000282,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"VSV dosimetry, kernel dosimetry",A voxel-based absorbed dose calculation that utilizes pre-calculated spatial energy deposition patterns to determine the dose contribution from a source to surrounding voxels.,,,,,,,,,,,,,,,,,,
,,,,,dose-point-kernel convolutional absorbed dose calculation,,,nuclex:000283,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,DPK dosimetry,A kernel-based absorbed dose calculation that mathematically convolves a three-dimensional activity distribution with a radially symmetric function representing the energy deposition from a point source in a homogenous medium.,,,,,,,,,,,,,,,,,,
,,,,Monte Carlo absorbed dose calculation,,,,nuclex:000284,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"MC dosimetry simulation, MC dosimetry",An absorbed dose calculation method that computes energy deposition by stochastically simulating the transport and fundamental physical interactions of individual radiation particles through a defined anatomical model or voxel grid.,,,,,,,,,,,,,,,,,,
